,company_name,description,letter,location,url
0,23andMe,DNA testing service,#,"Mountain View, CA",https://www.23andme.com/
1,Act-On Software,Cloud-based integrated marketing platform,A,"Portland, OR",https://www.act-on.com/
2,Affirm,Consumer installment loans,A,"San Francisco, CA",https://affirm.com/
3,Algolia,Search-as-a-service solution,A,"San Francisco, CA",https://www.algolia.com/
4,Amplitude,Product analytics software for web and mobile,A,"San Francisco, CA",https://amplitude.com/
5,Andela,High-performing distributed engineering teams with African talent,A,"New York, NY",https://andela.com/
6,Apartment List,Apartment rental marketplace,A,"San Francisco, CA",https://www.apartmentlist.com/
7,App Annie,Business intelligence solutions,A,"San Francisco, CA",http://www.appannie.com/
8,Arctic Wolf Networks,Managed firebreak detection & response security service,A,"Sunnyvale, CA",https://arcticwolf.com/
9,Asana,Work-management software for teams,A,"San Francisco, CA",https://asana.com/
10,Avetta,Cloud-based supply chain risk management platform,A,"Orem, UT",https://www.avetta.com
11,AVI Networks,Intent-based application services,A,"Santa Clara, CA",https://www.avinetworks.com
12,AxiomSL,Risk data management and regulatory reporting solutions,A,"New York, NY",https://www.axiomsl.com/
13,BetterCloud,SaaS operations management platform,B,"New York, NY",https://www.bettercloud.com
14,Big Switch Networks,SDN white box switching,B,"Santa Clara, CA",https://www.bigswitch.com
15,Blend ,White-label consumer lending ecosystem,B,"San Francisco, CA",https://blend.com/
16,Blue Jeans Network,Video conferencing services,B,"Mountain View, CA",https://www.bluejeans.com/
17,Bustle Digital Group,"News, entertainment, lifestyle & fashion website",B,"New York, NY",https://www.bustle.com/
18,Buzzfeed,Social news and entertainment,B,"New York, NY",https://www.buzzfeed.com
19,Carbon (formerly Carbon 3D),3D manufacturing,C,"Redwood City, CA",https://www.carbon3d.com/
20,Carta,Cap table management & compliance,C,"Palo Alto, CA",https://carta.com/
21,Chartboost,In-app monetization and programmatic advertising platform,C,"San Francisco, CA",https://www.chartboost.com
22,Checkr,Professional background checks,C,"San Francisco, CA",https://www.checkr.com/
23,CloudBees,Continuous deployment software,C,"San Jose, CA",https://www.cloudbees.com
24,Cloudflare,"CDN, DNS, DDoS protection and security",C,"San Francisco, CA",https://www.cloudflare.com
25,Clover Health,Health insurance ,C,"San Francisco, CA",https://www.cloverhealth.com/en/
26,Code42 ,"Data loss protection, visibility, and recovery solutions",C,"Minneapolis, MN",https://www.code42.com
27,Collibra,Data governance,C,"New York, NY",https://www.collibra.com
28,CommonBond,Online education lending platform,C,"New York, NY",https://www.commonbond.co/
29,Confluent,Streaming platform based on Apache Kafka,C,"Palo Alto, CA",https://www.confluent.io/
30,Convoy,Trucking services powered by technology,C,"Seattle, WA",https://convoy.com/
31,Couchbase,NoSQL database,C,"Santa Clara, CA",https://www.couchbase.com
32,Cradlepoint,"Connects people, places, and things over broadband",C,"Boise, ID",https://cradlepoint.com/
33,CrowdStrike,Threat analysis and prevention,C,"Sunnyvale, CA",https://www.crowdstrike.com
34,Cumulus Networks,Linux operating systems for networking hardware,C,"Mountain View, CA",https://cumulusnetworks.com/
35,Cybereason,Endpoint detection and response platform,C,"Boston, MA",https://www.cybereason.com/
36,Databricks,Unified analytics platform based on Spark,D,"San Francisco, CA",https://databricks.com/
37,Datadog,Monitoring of cloud services,D,"New York, NY",https://www.datadoghq.com/
38,DataStax,Data management for cloud applications.,D,"Santa Clara, CA",https://www.datastax.com/
39,Deem,Commerce-as-a-Service ,D,"San Francisco, CA",https://www.deem.com
40,Demisto,Collaborative and automated security operations platform,D,"Cupertino, CA",https://www.demisto.com/
41,Dia&Co,Plus-sized women's clothing and accessories,D,"New York, NY",https://www.dia.com
42,Dialpad,Unified communications services,D,"San Francisco, CA",https://www.dialpad.com
43,DigitalOcean,Cloud hosting service for developers,D,"New York, NY",https://www.digitalocean.com/
44,Docker,"Open platform to build, ship & run distributed applications",D,"San Francisco, CA",https://www.docker.com
45,Drawbridge,Anonymous cross-device communication platform,D,"San Mateo, CA",https://www.drawbridge.com
46,Earnin,Access to your pay whenever you need it,E,"Palo Alto, CA",https://www.earnin.com
47,Elementum,Software to make supply chains simple,E,"Mountain View, CA",https://www.elementum.com
48,Everlane,Online vendor of luxury clothing,E,"San Francisco, CA",https://www.everlane.com
49,ExtraHop Networks ,Real-time operational intelligence ,E,"Seattle, WA",https://www.extrahop.com
50,Farmers Business Network,Network that connects farmers to share knowledge,F,"San Carlos, CA",https://www.fbn.com/
51,FinancialForce,Back-office applications for Salesforce CRM,F,"San Francisco, CA",https://www.financialforce.com
52,Flywire,Service for complex payment problems,F,"Boston, MA",https://www.flywire.com
53,ForgeRock,Open source identity management solutions,F,"San Francisco, CA",https://www.forgerock.com
54,Freshworks,Cloud-based customer support software ,F,"San Francisco, CA",https://www.freshworks.com/
55,Fundbox,Financial factoring services,F,"San Francisco, CA",https://fundbox.com/
56,Fuze,Unified communications services,F,"Boston, MA",https://www.fuze.com/
57,GOAT ,Sneaker marketplace,G,"Culver City, CA",https://www.goat.com/
58,Grammarly,Online digital writing assistant,G,"San Francisco, CA",https://www.grammarly.com
59,Grand Rounds,Health outcomes management platform,G,"San Francisco, CA",https://www.grandrounds.com
60,Greenhouse,Recruiting optimization platform,G,"New York, NY",http://www.greenhouse.io/
61,Gusto,Small company payroll & benefits,G,"San Francisco, CA",https://www.gusto.com/
62,HackerOne,Vulnerability coordination and bug bounty platform,H,"San Francisco, CA",https://www.hackerone.com/
63,Health Catalyst,Organizes health-related data ,H,"Salt Lake City, UT",https://www.healthcatalyst.com/
64,Health IQ,Insurance for the health conscious,H,"Mountain View, CA",https://www.healthiq.com/
65,HireVue,Recruiting productivity software,H,"South Jordan, UT",https://www.hirevue.com
66,Hootsuite,Platform for managing social media,H,"Vancouver, Canada",https://hootsuite.com/
67,HotelTonight,Mobile hotel booking application that allows same-day reservations,H,"San Francisco, CA",https://www.hoteltonight.com
68,Hudl,Sports video analysis and coaching tools,H,"Lincoln, NE",https://www.hudl.com
69,Ibotta,Tools to encourage consumers to learn about their favorite brands,I,"Denver, CO",http://ibotta.com/
70,IEX Group,Transparent securities exchange,I,"New York, NY",https://iextrading.com/
71,Illumio,Cloud security company that applies adaptive segmentation,I,"Sunnyvale, CA",https://www.illumio.com
72,InsideSales.com,Sales acceleration platform ,I,"Provo, UT",https://www.insidesales.com/
73,Instacart,Grocery delivery service,I,"San Francisco, CA",https://www.instacart.com
74,Intercom,Customer communication platform ,I,"San Francisco, CA",https://www.intercom.com
75,InVision,Design collaboration platform,I,"New York, NY",https://www.invisionapp.com/
76,Ionic Security ,Data security platform,I,"Atlanta, GA",https://www.ionic.com/
77,ipsy,Beauty products sampling service,I,"San Mateo, CA",https://www.ipsy.com
78,IQMS,Enterprise resource planning software,I,"Pasa Robles, CA",https://www.iqms.com
79,Jana,App discovery service,J,"Boston, MA",https://www.jana.com/home
80,Justworks,"Payroll, benefits & compliance for SMBs",J,"New York, NY",https://www.justworks.com
81,Lattice Engines,Marketing and sales prediction ,L,"San Mateo, CA",https://www.lattice-engines.com
82,Leanplum,Mobile marketing platform,L,"San Francisco, CA",https://www.leanplum.com/
83,LendingHome,Mortgage lender,L,"San Francisco, CA",https://www.lendinghome.com/
84,Lever,Talent acquisition management system,L,"San Francisco, CA",https://www.lever.co/
85,Looker,Business intelligence software,L,"Santa Cruz, CA",http://looker.com/
86,Medallia,SaaS that captures customer feedback ,M,"San Mateo, CA",http://www.medallia.com/
87,Minted,Graphic design crowdsourcing,M,"San Francisco, CA",http://www.minted.com/
